paper_name,journal,number_entities
conf_icse_MaozRR14,ICSE,11
conf_icse_BriandWIL99,ICSE,11
conf_icse_InoueHHN02,ICSE,11
conf_icse_GrechanikBP04,ICSE,11
conf_icse_AvrilionisCF96,ICSE,11
conf_icse_CabriLZ01,ICSE,11
conf_icse_BestJN07,ICSE,11
conf_icse_Zhang09,ICSE,11
conf_icse_Duala-EkokoR12,ICSE,11
conf_icse_BonfattiGM97,ICSE,11
conf_icse_Bortis08,ICSE,11
conf_icse_WangSYHHM06,ICSE,11
conf_icse_PezzeY97,ICSE,11
conf_icse_Randell79,ICSE,11
conf_icse_BayneCE11,ICSE,11
conf_icse_KimNG07,ICSE,11
conf_vldb_GanesanBG04,VLDB,11
conf_vldb_PalCSSGZ04,VLDB,11
conf_vldb_CareyD96,VLDB,11
conf_vldb_BarioniRTT06,VLDB,11
conf_vldb_MoerkotteN06,VLDB,11
conf_vldb_BartaCM05,VLDB,11
conf_vldb_AnciauxBP03,VLDB,11
conf_vldb_LeeNS07,VLDB,11
conf_vldb_MarkowitzM87,VLDB,11
conf_vldb_JaedickeM99,VLDB,11
conf_vldb_ChuBCDN07,VLDB,11
conf_vldb_AbiteboulMRVW98,VLDB,11
conf_vldb_AbiteboulSGS86,VLDB,11
conf_vldb_DongHMNZ04,VLDB,11
conf_vldb_TreschPL95,VLDB,11
conf_vldb_CunninghamGG04,VLDB,11
conf_vldb_Moerkotte98,VLDB,11
conf_vldb_YangG01,VLDB,11
conf_vldb_SubramanianBLLSSTYW07,VLDB,11
conf_vldb_ColletCS94,VLDB,11
conf_vldb_MukherjeaB04,VLDB,11
conf_vldb_LeeFL88,VLDB,11
conf_vldb_AgrawalBSHNSW06,VLDB,11
conf_vldb_Cha04,VLDB,11
conf_jcdl_LagozeKCDES06,JCDL,10
conf_jcdl_BollenS06,JCDL,10
conf_jcdl_TorresMAKR04,JCDL,10
conf_jcdl_KrafftBC08,JCDL,10
conf_jcdl_ManguinhasFB10,JCDL,10
conf_jcdl_TansleyBSBCMS03,JCDL,10
conf_sigir_Smith73,SIGIR,10
conf_sigir_KokB88,SIGIR,10
conf_sigir_WanZ14,SIGIR,10
conf_sigir_SchenkelCKMNPW08,SIGIR,10
conf_sigir_TrevisiolCAJ12,SIGIR,10
conf_sigir_CaiHWM04,SIGIR,10
conf_sigir_FungCAT90,SIGIR,10
conf_sigir_ZhaoH14,SIGIR,10
conf_sigir_Salminen87,SIGIR,10
conf_sigir_WangHCSWC13,SIGIR,10
conf_sigir_RabinovichRK14,SIGIR,10
conf_sigir_AslamKPSY09,SIGIR,10
conf_sigir_WangGLXWC15,SIGIR,10
conf_ercimdl_ZimmerTW07,ECDL,10
conf_ercimdl_BainbridgeWBT09,ECDL,10
conf_ercimdl_PaulPHC98,ECDL,10
conf_ercimdl_DoerrF98,ECDL,10
conf_ercimdl_SmeatonOCVDHRSW02,ECDL,10
conf_ercimdl_LlavadorC07,ECDL,10
conf_trec_SanJuanFBI08,TREC,10
conf_trec_KarimiMGCSZ11,TREC,10
conf_trec_JabeurDTPCB12,TREC,10
conf_trec_MoldovanCB07,TREC,10
conf_trec_FranzMW99,TREC,10
conf_trec_Tomlinson05,TREC,10
conf_trec_BrownDH03,TREC,10
conf_trec_BagdouriO15,TREC,10
conf_trec_BernsteinBGLSZW05,TREC,10
conf_trec_Dean-HallCKTV12,TREC,10
conf_trec_KingWPZ11,TREC,10
conf_trec_ZhangC00,TREC,10
conf_trec_LinADOWW05,TREC,10
conf_trec_AttardiS06,TREC,10
conf_trec_ZhuZCC07,TREC,10
conf_trec_MonzKR02,TREC,10
conf_trec_FerretGIJM99,TREC,10
conf_trec_BaileyAK07,TREC,10
conf_trec_HeMOPS08,TREC,10
conf_icwsm_McGlohonH09,ICWSM,10
conf_esws_KampgenH13,ESWC,10
conf_esws_EllHS14,ESWC,10
conf_esws_TzitzikasMMFAMZ14,ESWC,10
conf_esws_BothDSSC016,ESWC,10
conf_esws_GorrellPB15,ESWC,10
conf_esws_PotterA05,ESWC,10
conf_esws_KhaliliLH16,ESWC,10
conf_esws_KourtesisP08,ESWC,10
conf_esws_SchroeterHN07,ESWC,10
conf_esws_SaifFHA14,ESWC,10
conf_esws_HalpinB15,ESWC,10
conf_esws_DubeyDSHL16,ESWC,10
conf_esws_GhidiniS06,ESWC,10
conf_esws_PichlerPWW08,ESWC,10
conf_esws_SvabSS07,ESWC,10
conf_esws_ViljanenTH09,ESWC,10
conf_www_DeutchGKM12,WWW,10
conf_www_BennettSD10,WWW,10
conf_www_HarrenRSBBPS05,WWW,10
conf_www_CanaliBF13,WWW,10
conf_www_ToliaS07,WWW,10
conf_www_PasternackR09,WWW,10
conf_www_JacksonB08,WWW,10
conf_www_AuerDLHA09,WWW,10
conf_www_Robertson06,WWW,10
conf_www_Adida08,WWW,10
conf_www_ShadgarH04,WWW,10
conf_www_Johanson01,WWW,10
conf_www_SchonfeldS09,WWW,10
conf_www_AgarwalDKKKMS05,WWW,10
conf_www_ZhangSSL11,WWW,10
