paper_id,number_occurances,weighted_occurances
conf_ercimdl_smeatonmqs98,42,42
conf_ercimdl_bouthorsd99,42,42
conf_ercimdl_meiershs03,42,42
conf_ercimdl_mallochbdoap98,42,42
conf_ercimdl_fuhrksm02,42,42
conf_ercimdl_brunning00,42,42
conf_ercimdl_shengff05,42,42
conf_icwsm_passantbbhsl10,42,42
conf_icwsm_breslinkb07,42,42
conf_icwsm_guha0dkv16,42,42
conf_esws_meilenderlpj12,42,42
conf_esws_hartigp15,42,42
conf_esws_buitelaarchs09,42,42
conf_esws_tzitzikasmmfamz14,42,42
conf_esws_wangxzy07,42,42
conf_esws_shvaikogsm05,42,42
conf_esws_oberkampfgzzah15,42,42
conf_esws_paulrmks16,42,42
conf_esws_garsholb13,42,42
conf_esws_bloehdornpsstahkss05,42,42
conf_esws_roucesmh15a,42,42
conf_esws_akhtarkkp08,42,42
conf_esws_sherifnl15,42,42
conf_esws_sahw12,42,42
conf_esws_ruanlwz16,42,42
conf_esws_alexopoulosdg15,42,42
conf_esws_aroyoddp06,42,42
conf_esws_chiarcos12,42,42
conf_esws_callahancad13,42,42
conf_esws_gangemi13,42,42
conf_esws_knoblocksagglmtm12,42,42
conf_esws_rubierapbg12,42,42
conf_esws_blanco-fernandezagcn08,42,42
conf_esws_auerl07,42,42
conf_vldb_ipeirotisg02,42,42
conf_vldb_micheltw05,42,42
conf_vldb_banerjee00,42,42
conf_vldb_andlerdehkmw82,42,42
conf_vldb_bernsteinps99,42,42
conf_vldb_kacholiapcsdk05,42,42
conf_vldb_burdickdrv07,42,42
conf_vldb_agrawalksx02,42,42
conf_vldb_morimotofmty98,42,42
conf_vldb_alexandrovabbbcdfhjkkkllmmmpnpprrssw02,42,42
conf_vldb_rjaibib04,42,42
conf_vldb_anandbh94,42,42
conf_vldb_maindrevilles88,42,42
conf_vldb_mohanbwsz00,42,42
conf_vldb_martinc94,42,42
conf_vldb_bernsteinhssz97,42,42
conf_vldb_gardaringt96,42,42
conf_vldb_chaw91,42,42
conf_vldb_franklincl92,42,42
conf_vldb_liuf04,42,42
conf_vldb_shanmugasundaramgtzdn99,42,42
conf_vldb_rezendeh98,42,42
conf_vldb_arasucgmmrst04,42,42
conf_vldb_shaossag04,42,42
conf_vldb_mohann91,42,42
conf_vldb_ramakrishnanr96,42,42
conf_icse_wegner78,41,41
conf_jcdl_ipeirotisbg02,39,39
conf_jcdl_peruginimrpsrwf04,39,39
conf_jcdl_mischohc02,39,39
conf_jcdl_jonesp01,39,39
conf_jcdl_alkwainw15,39,39
conf_jcdl_dukedhcc05,39,39
conf_jcdl_salaheldeenn13,39,39
conf_jcdl_estevasmxk16,39,39
conf_jcdl_buchananm11,39,39
conf_jcdl_petraslb06,39,39
conf_jcdl_limglnkh02,39,39
conf_jcdl_mimnom07a,39,39
conf_jcdl_foxxk16,39,39
conf_jcdl_hemns13,39,39
conf_jcdl_chenbhfc12,39,39
conf_jcdl_yuwavh13,39,39
conf_jcdl_woodslg11,39,39
conf_jcdl_zhuangwg05,39,39
conf_jcdl_maco06,39,39
conf_sigir_daltonda14,39,39
conf_sigir_mcalpinei89,39,39
conf_sigir_shouw0013,39,39
conf_sigir_soboroffr03,39,39
conf_sigir_0001c16,39,39
conf_sigir_liclpk15,39,39
conf_sigir_chenbscg11,39,39
conf_sigir_smith73,39,39
conf_sigir_scheinpup02,39,39
conf_sigir_mladenicbgm04,39,39
conf_sigir_carterette07,39,39
conf_sigir_trevisiolabb15,39,39
conf_sigir_parkpgk02,39,39
conf_sigir_schek84,39,39
conf_sigir_dalipgcc13,39,39
conf_sigir_yangctzsl11,39,39
conf_sigir_renlmr13,39,39
conf_sigir_kazaimc09,39,39
conf_sigir_azzopardi11,39,39
conf_sigir_bennettrwy11,39,39
conf_sigir_biller82,39,39
conf_sigir_xubcchll11,39,39
conf_sigir_gaon06,39,39
conf_sigir_wangfz08,39,39
conf_sigir_loseeby86,39,39
conf_sigir_guptabbcr14,39,39
conf_sigir_pirkolatkvj03,39,39
conf_sigir_hongs13,39,39
conf_sigir_mishrab16,39,39
conf_sigir_zhoudg14,39,39
conf_ercimdl_nuernbergwl98,39,39
conf_ercimdl_littlegh02,39,39
conf_ercimdl_andreonibbccpp99,39,39
conf_ercimdl_paulphc98,39,39
conf_ercimdl_kazaimihmlmm10,39,39
conf_ercimdl_smeatonocvdhrsw02,39,39
conf_ercimdl_tarrantcp08,39,39
conf_ercimdl_bosmanbww98,39,39
conf_ercimdl_hunterl01,39,39
conf_ercimdl_habingcm04,39,39
conf_ercimdl_tomsm09,39,39
conf_ercimdl_pyrounakissnk06,39,39
conf_trec_zhangz06,39,39
conf_trec_zhailhvwfsl05,39,39
conf_icwsm_yangyvzk07,39,39
conf_icwsm_vainikainennbl09,39,39
conf_icwsm_wangfa15,39,39
conf_icwsm_jainmac14,39,39
conf_esws_stellatortfclkp15,39,39
conf_esws_wagnertlhs12,39,39
conf_esws_mayqxpl06,39,39
conf_esws_schandlh09,39,39
conf_esws_davisvhdc09,39,39
conf_esws_saleemn14,39,39
conf_esws_grimmmp06,39,39
conf_esws_romankf08,39,39
conf_esws_valleccevkrvgzm07,39,39
conf_esws_ceribv07,39,39
conf_esws_schaiblegs14,39,39
conf_esws_mouromtsevhcpas15,39,39
conf_esws_valletfc05,39,39
conf_esws_dukegd07,39,39
conf_esws_0002p13,39,39
conf_esws_garcia-silvaklc12,39,39
conf_esws_saiffha14,39,39
conf_esws_grimnessb09,39,39
conf_esws_carrollp05,39,39
conf_esws_breslinhbd05,39,39
conf_esws_lusl15,39,39
conf_esws_elbedweihymwc14,39,39
conf_esws_kuhnd14,39,39
conf_esws_vitvarkvf08,39,39
conf_www_filliesww02,39,39
conf_vldb_leezl07,39,39
conf_vldb_imielinskib02,39,39
conf_vldb_georgeh98,39,39
conf_vldb_chakrabartirs02,39,39
conf_vldb_onosebc07,39,39
conf_vldb_litje07,39,39
conf_vldb_ganesanbg04,39,39
conf_vldb_palcssgz04,39,39
conf_vldb_careyd96,39,39
conf_vldb_benzakenccn06,39,39
conf_vldb_nicklasgs03,39,39
conf_vldb_chaudhurig99,39,39
conf_vldb_vrhovnikssmmmk07,39,39
conf_vldb_dayal87,39,39
conf_vldb_chuitb92,39,39
conf_vldb_adibaq86,39,39
conf_vldb_burdickdjrv06,39,39
conf_vldb_dittrichkk05,39,39
conf_vldb_bartacm05,39,39
conf_vldb_anciauxbp03,39,39
conf_vldb_ghoshpsh02,39,39
conf_vldb_brownp83,39,39
conf_vldb_hellersteinnp95,39,39
conf_vldb_faloutsosjs97,39,39
conf_vldb_deen82,39,39
conf_vldb_ramanh01,39,39
conf_vldb_botanffkkt07,39,39
conf_vldb_ioannidislgp96,39,39
conf_vldb_whangws82,39,39
conf_vldb_stonebraker87,39,39
conf_vldb_poesso05,38,38
conf_vldb_manacher75,38,38
conf_www_auerdlha09,37,37
conf_jcdl_guogmol16,36,36
conf_jcdl_dahlquisthm05,36,36
conf_jcdl_jayarathnaps15,36,36
conf_jcdl_strodlbnr07,36,36
conf_jcdl_tibbo02,36,36
conf_jcdl_kaplanc05,36,36
conf_jcdl_liwgts14,36,36
conf_jcdl_petinotthglrp03,36,36
conf_jcdl_marshalls14,36,36
