paper_id,number_occurances,weighted_occurances
conf_sigir_yangkml15,9,9
conf_sigir_lourencovpmfp14,9,9
conf_sigir_tongaac87,9,9
conf_sigir_raiberk13,9,9
conf_sigir_guoa10,9,9
conf_ercimdl_manguinhasb06,9,9
conf_ercimdl_sompell02,9,9
conf_ercimdl_wittenbpb02,9,9
conf_ercimdl_manghimcab10,9,9
conf_ercimdl_castellimp02,9,9
conf_ercimdl_meiershs03,9,9
conf_ercimdl_sulemanf02,9,9
conf_ercimdl_andreonibbccpp99,9,9
conf_ercimdl_noordermeer97,9,9
conf_ercimdl_christophidesdf97,9,9
conf_ercimdl_lee04,9,9
conf_ercimdl_tansleybs03,9,9
conf_ercimdl_holmstrom04,9,9
conf_ercimdl_berndm97,9,9
conf_trec_litkowski02,9,9
conf_trec_smeatono02,9,9
conf_trec_pragerbrc00,9,9
conf_trec_baruahgrv13,9,9
conf_trec_demner-fushmanhilstwadrr06,9,9
conf_trec_sekicsm04,9,9
conf_trec_jingujilembejnyz06,9,9
conf_trec_schuemietm11,9,9
conf_trec_kwokgc00,9,9
conf_trec_balogsv11,9,9
conf_trec_wul15,9,9
conf_trec_guohg04,9,9
conf_trec_aminislm12,9,9
conf_trec_niagpwp13,9,9
conf_trec_tomlinson02,9,9
conf_trec_almquistmhs08,9,9
conf_trec_wangsms08,9,9
conf_trec_goodwinh14,9,9
conf_trec_shenwmkhlk07,9,9
conf_trec_stokeslchrz07,9,9
conf_trec_gurrins99,9,9
conf_trec_lvfqfy14,9,9
conf_trec_yuaglnnstwzb05,9,9
conf_trec_gurulingappamkmhff10,9,9
conf_trec_gaizauskasghrss03,9,9
conf_trec_tomlinson10,9,9
conf_trec_ippolitosmgss15,9,9
conf_trec_chandarkmtc09,9,9
conf_icwsm_chenwnws12,9,9
conf_esws_kluschkz09,9,9
conf_esws_mollerbb06,9,9
conf_esws_gengeh09,9,9
conf_esws_roucesmh15a,9,9
conf_esws_meuselp15,9,9
conf_esws_dukegd07,9,9
conf_esws_tablandb08,9,9
conf_esws_stoilos14,9,9
conf_esws_schlobach05,9,9
conf_esws_kietzsfb14,9,9
conf_esws_celinov05,9,9
conf_esws_vitvarzm07,9,9
conf_esws_graygo09,9,9
conf_esws_siorpaesh08,9,9
conf_esws_kobilarovsrossbl09,9,9
conf_esws_kerriganmtf07,9,9
conf_esws_rosati12,9,9
conf_esws_hartmannbpg06,9,9
conf_www_dasdgr07,9,9
conf_www_minnichcmlf15,9,9
conf_www_mengcmsz15,9,9
conf_www_wuw08,9,9
conf_www_gollapallicmg13,9,9
conf_www_horrocksp03,9,9
conf_www_fuxmantaa08,9,9
conf_www_meizct09,9,9
conf_www_maggifzsskv13,9,9
conf_www_broekstrakdfhh01,9,9
conf_www_schenks08,9,9
conf_www_orendghd07,9,9
conf_www_chakrabartikp07,9,9
conf_www_buchananfjtmp01,9,9
conf_www_blackburnskzrsi12,9,9
conf_www_motikhs07,9,9
conf_www_sequedaam12,9,9
conf_www_ahmetajfpss15,9,9
conf_www_stammsm10,9,9
conf_www_freirekl01,9,9
conf_www_ungerblngc12,9,9
conf_www_chierichettikrs12,9,9
conf_www_fogarasr05,9,9
conf_www_welchco11,9,9
conf_www_markinescmbhs09,9,9
conf_www_lokfch02,9,9
conf_www_baoxwyfs07,9,9
conf_www_simonf07,9,9
conf_www_tummarelloccddd10,9,9
conf_www_yeczc13,9,9
conf_www_kleekmkas10,9,9
conf_www_bechhoferc04,9,9
conf_www_bar-yossefg09,9,9
conf_www_biancullibd10,9,9
conf_www_attererws06,9,9
conf_www_jainms02,9,9
conf_www_zhangy16,9,9
conf_www_quank04,9,9
